tanggal,id_transaksi,id_barang,nama_barang,jenis_pergerakan,jumlah,lokasi_asal,lokasi_tujuan,pic,penerima,keterangan
2026-06-01,TRX-0001,AST-001,Meja Kerja Premium - Hitam,Keluar,5,Gudang Pusat - Jakarta,SAI Cowork Surabaya,Andi Permana,Ahmad Fauzi,Pengiriman rutin cabang Surabaya
2026-06-01,TRX-0002,AST-002,Kursi Kantor Ergonomic,Keluar,8,Gudang Pusat - Jakarta,SAI Cowork Surabaya,Andi Permana,Ahmad Fauzi,Pengiriman rutin cabang Surabaya
2026-06-02,TRX-0003,AST-005,Access Point WiFi Ubiquiti,Masuk,5,Ruang Server - Jakarta,Gudang Elektronik - Jakarta,Fajar Ramadhan,Budi Hartono,Pembelian baru untuk upgrade WiFi
2026-06-03,TRX-0004,AST-003,Proyektor Epson,Keluar,2,Gudang Elektronik - Jakarta,SAI Cowork Medan,Sari Dewi,Linda Kusuma,Pengiriman untuk cabang Medan
2026-06-04,TRX-0005,AST-006,Karpet Lantai - Abu-abu,Keluar,10,Gudang Pusat - Jakarta,SAI Cowork Semarang,Andi Permana,Dian Puspita,Pengiriman untuk renovasi cabang Semarang
2026-06-05,TRX-0006,AST-008,Sound System Portable,Keluar,1,Gudang Elektronik - Jakarta,SAI Cowork Jakarta,Dian Puspita,Rina Anggraeni,Peminjaman untuk event internal
2026-06-06,TRX-0007,AST-004,LED TV 65 Inch Samsung,Keluar,2,Gudang Elektronik - Jakarta,SAI Cowork Pekanbaru,Sari Dewi,Linda Kusuma,Pengiriman untuk cabang Pekanbaru
2026-06-07,TRX-0008,AST-007,Whiteboard Magnetik,Keluar,4,Gudang Perlengkapan - Jakarta,SAI Cowork Pontianak,Andi Permana,Ahmad Fauzi,Pengiriman untuk cabang Pontianak
2026-06-08,TRX-0009,AST-001,Meja Kerja Premium - Hitam,Masuk,10,Gudang Pusat - Jakarta,Gudang Pusat - Jakarta,Budi Hartono,Togu Sibarani,Pembelian baru untuk persiapan cabang Bali
2026-06-09,TRX-0010,AST-002,Kursi Kantor Ergonomic,Masuk,12,Gudang Pusat - Jakarta,Gudang Pusat - Jakarta,Budi Hartono,Togu Sibarani,Pembelian baru untuk persiapan cabang Bali
2026-06-10,TRX-0011,AST-009,Lemari Arsip 4 Laci,Keluar,2,Gudang Pusat - Jakarta,SAI Cowork Surabaya,Andi Permana,Ahmad Fauzi,Pengiriman untuk cabang Surabaya
2026-06-11,TRX-0012,AST-005,Access Point WiFi Ubiquiti,Keluar,3,Gudang Elektronik - Jakarta,SAI Cowork Medan,Fajar Ramadhan,Linda Kusuma,Pengiriman upgrade WiFi cabang Medan
2026-06-12,TRX-0013,AST-010,Mesin Kopi Otomatis,Keluar,1,Gudang Pantry - Jakarta,SAI Cowork Jakarta,Dian Puspita,Rina Anggraeni,Penggantian mesin kopi yang rusak
2026-06-13,TRX-0014,AST-003,Proyektor Epson,Keluar,1,Gudang Elektronik - Jakarta,SAI Cowork Semarang,Sari Dewi,Dian Puspita,Pengiriman untuk cabang Semarang
2026-06-14,TRX-0015,AST-006,Karpet Lantai - Abu-abu,Keluar,8,Gudang Pusat - Jakarta,SAI Cowork Surabaya,Andi Permana,Ahmad Fauzi,Pengiriman untuk cabang Surabaya
2026-06-15,TRX-0016,AST-008,Sound System Portable,Masuk,2,Gudang Elektronik - Jakarta,Gudang Elektronik - Jakarta,Budi Hartono,Togu Sibarani,Pembelian sound system baru
2026-06-16,TRX-0017,AST-004,LED TV 65 Inch Samsung,Keluar,1,Gudang Elektronik - Jakarta,SAI Cowork Jakarta,Dian Puspita,Rina Anggraeni,Penggantian TV rusak di ruang meeting
2026-06-17,TRX-0018,AST-007,Whiteboard Magnetik,Masuk,6,Gudang Perlengkapan - Jakarta,Gudang Perlengkapan - Jakarta,Budi Hartono,Togu Sibarani,Pembelian untuk persiapan cabang Yogyakarta
2026-06-18,TRX-0019,AST-001,Meja Kerja Premium - Hitam,Keluar,15,Gudang Pusat - Jakarta,SAI Cowork Jakarta,Andi Permana,Dian Puspita,Pengiriman untuk penambahan kapasitas cabang Jakarta
2026-06-18,TRX-0020,AST-005,Access Point WiFi Ubiquiti,Keluar,2,Gudang Elektronik - Jakarta,SAI Cowork Pekanbaru,Fajar Ramadhan,Linda Kusuma,Pengiriman upgrade WiFi cabang Pekanbaru
